2025-02-06 13:35:46 | DEBUG | {"API":"getApplicationCountsv1","REQUEST":{"EntryuserId":9},"RESPONSE":{"status":0,"message":"Data fetched successfully","data":{"TotalPendingApplications":87,"Last15DaysPendingApplications":87,"EOAccepectButNotStartedVerify":10,"EOStartedVerify":1,"EOComplete":2,"OCPending":0,"OCComplete":2,"SPPending":1,"SPDone":1,"SEPending":1,"SEComplete":0,"SPPendingReverify":0,"SPReverifyComplete":0}}}
2025-02-06 13:45:04 | DEBUG | {"API":"sendOtp","REQUEST":{"username":"akasheo","password":"admin@123"},"RESPONSE":{"status":0,"message":"OTP sent successfully","type":40,"name":"akasheo","district":"Kolkata Police Commissionerate","ps":"Ultadanga","token":"ZXlKaGJHY2lPaUpJVXpJMU5pSXNJblI1Y0NJNklrcFhWQ0o5LmV5SlZjMlZ5U1VRaU9qa3NJa1JwYzNSeWFXTjBTVVFpT2pJNExDSkVhWE4wY21samRFNWhiV1VpT2lKTGIyeHJZWFJoSUZCdmJHbGpaU0JEYjIxdGFYTnphVzl1WlhKaGRHVWlMQ0pRYjJ4cFkyVlRkR0YwYVc5dVNVUWlPalExTlN3aVVHOXNhV05sVTNSaGRHbHZiazVoYldVaU9pSlZiSFJoWkdGdVoyRWlMQ0pWYzJWeVZIbHdaVWxFSWpvME1Dd2lWWE5sY2xSNWNHVk9ZVzFsSWpvaVJVOGlMQ0pWYzJWeWJtRnRaU0k2SW1GcllYTm9aVzhpTENKVmMyVnlSblZzYkU1aGJXVWlPaUpoYTJGemFHVnZJaXdpVkhKaGJuTmhZM1JwYjI1SlpDSTZJaTB0TFNJc0ltbGhkQ0k2TVRjek9EZ3lPVGN3TkN3aVpYaHdJam94TnpNNE9URTJNVEEwZlEuMTdKaUxxX29nN0JqWjc4Yk9qSlZmT3JyWERwM193Z3M2OEQtX1kzX0tfaw=="}}
2025-02-06 14:05:39 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:07:41 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:07:51 | DEBUG | {"API":"sendOtp","REQUEST":{"username":"akasheo","password":"admin@123"},"RESPONSE":{"status":0,"message":"OTP sent successfully","type":40,"name":"akasheo","district":"Kolkata Police Commissionerate","ps":"Ultadanga","token":"ZXlKaGJHY2lPaUpJVXpJMU5pSXNJblI1Y0NJNklrcFhWQ0o5LmV5SlZjMlZ5U1VRaU9qa3NJa1JwYzNSeWFXTjBTVVFpT2pJNExDSkVhWE4wY21samRFNWhiV1VpT2lKTGIyeHJZWFJoSUZCdmJHbGpaU0JEYjIxdGFYTnphVzl1WlhKaGRHVWlMQ0pRYjJ4cFkyVlRkR0YwYVc5dVNVUWlPalExTlN3aVVHOXNhV05sVTNSaGRHbHZiazVoYldVaU9pSlZiSFJoWkdGdVoyRWlMQ0pWYzJWeVZIbHdaVWxFSWpvME1Dd2lWWE5sY2xSNWNHVk9ZVzFsSWpvaVJVOGlMQ0pWYzJWeWJtRnRaU0k2SW1GcllYTm9aVzhpTENKVmMyVnlSblZzYkU1aGJXVWlPaUpoYTJGemFHVnZJaXdpVkhKaGJuTmhZM1JwYjI1SlpDSTZJaTB0TFNJc0ltbGhkQ0k2TVRjek9EZ3pNVEEzTVN3aVpYaHdJam94TnpNNE9URTNORGN4ZlEuZ3NsT1JvOENpaDJSLXpaLTJSMUZsUnVWUkU1TVNuWGt0cFpTdWhXbmhzZw=="}}
2025-02-06 14:08:07 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:10:32 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:11:53 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:12:10 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:12:37 | DEBUG | {"API":"updateAADHAARInfo","REQUEST":{"ApplicationID":"CA2075989000001","AadhaarName":"sayantani","AadhaarDOB":"2000-05-28","AadharVerifiedStatus":"0","AadhaarFatherName":"narayan","AadhaarGender":"female","AadhaarAddress":"bata"},"RESPONSE":{"status":0,"message":"Status has been updated successfully"}}
2025-02-06 14:12:40 | DEBUG | {"API":"updateAADHAARInfo","REQUEST":{"ApplicationID":"CA2075989000001","AadhaarName":"sayantani","AadhaarDOB":"2000-05-28","AadharVerifiedStatus":"0","AadhaarFatherName":"narayan","AadhaarGender":"female","AadhaarAddress":"bata"},"RESPONSE":{"status":0,"message":"Status has been updated successfully"}}
2025-02-06 14:18:48 | DEBUG | {"API":"updateAADHAARInfo","REQUEST":{"ApplicationID":"CA2075989000001","AadhaarName":"test","AadhaarDOB":"2000-05-28","AadharVerifiedStatus":"0","AadhaarFatherName":"narayan","AadhaarGender":"female","AadhaarAddress":"bata"},"RESPONSE":{"status":0,"message":"Status has been updated successfully"}}
2025-02-06 14:42:36 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:43:29 | DEBUG | {"API":"sendOtp","REQUEST":{"username":"akasheo","password":"admin@123"},"RESPONSE":{"status":0,"message":"OTP sent successfully","type":40,"name":"akasheo","district":"Kolkata Police Commissionerate","ps":"Ultadanga","token":"ZXlKaGJHY2lPaUpJVXpJMU5pSXNJblI1Y0NJNklrcFhWQ0o5LmV5SlZjMlZ5U1VRaU9qa3NJa1JwYzNSeWFXTjBTVVFpT2pJNExDSkVhWE4wY21samRFNWhiV1VpT2lKTGIyeHJZWFJoSUZCdmJHbGpaU0JEYjIxdGFYTnphVzl1WlhKaGRHVWlMQ0pRYjJ4cFkyVlRkR0YwYVc5dVNVUWlPalExTlN3aVVHOXNhV05sVTNSaGRHbHZiazVoYldVaU9pSlZiSFJoWkdGdVoyRWlMQ0pWYzJWeVZIbHdaVWxFSWpvME1Dd2lWWE5sY2xSNWNHVk9ZVzFsSWpvaVJVOGlMQ0pWYzJWeWJtRnRaU0k2SW1GcllYTm9aVzhpTENKVmMyVnlSblZzYkU1aGJXVWlPaUpoYTJGemFHVnZJaXdpVkhKaGJuTmhZM1JwYjI1SlpDSTZJaTB0TFNJc0ltbGhkQ0k2TVRjek9EZ3pNekl3T1N3aVpYaHdJam94TnpNNE9URTVOakE1ZlEuMTNsaHBXbUt2cGozUDROWjRFSjVMc3VOWWkyTGJWUWhSck5waDNRNkpCOA=="}}
2025-02-06 14:43:34 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:45:19 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:46:07 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:46:47 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:47:34 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:49:24 | ERROR | Error in updateEnquiryStatusController:
2025-02-06 14:50:23 | DEBUG | {"API":"sendOtp","REQUEST":{"username":"akasheo","password":"admin@123"},"RESPONSE":{"status":0,"message":"OTP sent successfully","type":40,"name":"akasheo","district":"Kolkata Police Commissionerate","ps":"Ultadanga","token":"ZXlKaGJHY2lPaUpJVXpJMU5pSXNJblI1Y0NJNklrcFhWQ0o5LmV5SlZjMlZ5U1VRaU9qa3NJa1JwYzNSeWFXTjBTVVFpT2pJNExDSkVhWE4wY21samRFNWhiV1VpT2lKTGIyeHJZWFJoSUZCdmJHbGpaU0JEYjIxdGFYTnphVzl1WlhKaGRHVWlMQ0pRYjJ4cFkyVlRkR0YwYVc5dVNVUWlPalExTlN3aVVHOXNhV05sVTNSaGRHbHZiazVoYldVaU9pSlZiSFJoWkdGdVoyRWlMQ0pWYzJWeVZIbHdaVWxFSWpvME1Dd2lWWE5sY2xSNWNHVk9ZVzFsSWpvaVJVOGlMQ0pWYzJWeWJtRnRaU0k2SW1GcllYTm9aVzhpTENKVmMyVnlSblZzYkU1aGJXVWlPaUpoYTJGemFHVnZJaXdpVkhKaGJuTmhZM1JwYjI1SlpDSTZJaTB0TFNJc0ltbGhkQ0k2TVRjek9EZ3pNell5TXl3aVpYaHdJam94TnpNNE9USXdNREl6ZlEuZlFwWFBoUER6eklLek9xRGhIUDJKYjMzTE9UNUY5eXNXTHZoeGFUd2huTQ=="}}
